,Date,Open,High,Low,Close,Volume,year,TrendValue,Trend,Up Days,Down Days,RSI,Close Rateofchange,OBV,VWAP,Prediction Value
97,2000-05-25,1237.0,1269.8,1235.7,1247.65,35464246,2000,23.0,Uptrend,23.0,0.0,99.42251402757849,-0.13122345240582123,-101829748,1340.1991363671473,1
98,2000-05-26,1247.1,1278.75,1232.85,1275.35,33048311,2000,8.0,Uptrend,8.0,0.0,99.37364944321325,-0.09990119274472453,-68781437,1326.6040210280114,1
99,2000-05-29,1273.7,1317.75,1267.4,1311.05,47527900,2000,39.0,Uptrend,39.0,0.0,99.11035934719264,-0.06789662649745831,-21253537,1314.8177821042432,1
100,2000-05-30,1310.8,1347.3,1304.95,1344.85,35581006,2000,29.0,Uptrend,29.0,0.0,98.8939711306251,0.008549251940455083,14327469,1310.0041415220498,1
101,2000-05-31,1355.35,1410.75,1355.35,1380.45,46440897,2000,63.0,Uptrend,63.0,0.0,98.37440377941121,0.04893431100642087,60768366,1310.5729276773884,1
102,2000-06-01,1380.4,1380.4,1345.1,1349.0,29618849,2000,-30.0,Downtrend,0.0,30.0,98.72132987284745,-0.022853210676904046,31149517,1315.9480694776748,0
103,2000-06-02,1350.15,1395.35,1350.15,1389.25,40135483,2000,14.0,Uptrend,14.0,0.0,98.61057148850585,-0.02330568053993254,71285000,1314.2636761003741,1
104,2000-06-05,1390.95,1461.05,1390.95,1404.6,46679969,2000,65.0,Uptrend,65.0,0.0,98.042206095174,0.028973297681403665,117964969,1312.805030039373,1
105,2000-06-06,1405.45,1426.15,1392.7,1421.75,28124165,2000,-34.0,Downtrend,0.0,34.0,98.52394284876067,0.03133727467266323,146089134,1317.8996451069395,0
106,2000-06-07,1423.4,1442.7,1413.8,1430.35,32121331,2000,16.0,Uptrend,16.0,0.0,98.39530358715986,0.049297582804533446,178210465,1320.2563617053072,1
107,2000-06-08,1430.5,1468.7,1430.5,1463.65,39568681,2000,26.0,Uptrend,26.0,0.0,98.16426070283737,0.1219577632133686,217779146,1324.5046296825878,1
108,2000-06-09,1464.3,1485.5,1458.9,1467.2,55393741,2000,16.0,Uptrend,16.0,0.0,98.00711412564635,0.1437480511381355,273172887,1334.086627758406,1
109,2000-06-12,1464.4,1477.55,1437.15,1440.4,28468653,2000,-7.0,Downtrend,0.0,7.0,98.14714980725691,0.10863959976909765,244704234,1347.1503652220156,0
110,2000-06-13,1438.8,1438.8,1411.9,1432.9,37250861,2000,-38.0,Downtrend,0.0,38.0,98.69562089110701,0.09645330374564809,207453373,1352.7273344940932,0
111,2000-06-14,1434.95,1459.15,1423.95,1435.5,37371054,2000,20.0,Uptrend,20.0,0.0,98.52248950886658,0.09442305493081227,244824427,1358.2712292435262,1
112,2000-06-15,1437.0,1452.8,1422.4,1445.25,30332490,2000,-6.0,Downtrend,0.0,6.0,98.60216080688441,0.11740374207515059,275156917,1364.12857848103,0
113,2000-06-16,1443.15,1480.85,1441.6,1477.3,39625952,2000,28.0,Uptrend,28.0,0.0,98.32213816227208,0.16506309148264986,314782869,1369.9759417390012,1
114,2000-06-19,1477.55,1510.45,1477.55,1498.75,37008819,2000,29.0,Uptrend,29.0,0.0,98.00158592436061,0.21553122465531227,351791688,1379.844920202031,1
115,2000-06-20,1498.0,1518.05,1497.05,1507.1,32047330,2000,7.0,Uptrend,7.0,0.0,97.9160665432844,0.23088859849722287,383839018,1389.5993001101413,1
116,2000-06-21,1524.05,1539.1,1470.4,1475.15,30544515,2000,21.0,Uptrend,21.0,0.0,97.63250227971595,0.19358362327049106,353294503,1399.517640720348,1
117,2000-06-22,1475.65,1491.4,1461.3,1488.25,42444916,2000,-47.0,Downtrend,0.0,47.0,98.60441718547595,0.1928425439826873,395739419,1409.4299066187205,0
118,2000-06-23,1487.85,1499.85,1462.75,1472.2,62807049,2000,8.0,Uptrend,8.0,0.0,98.52685772414793,0.15434978633316354,332932370,1421.5512082824678,1
119,2000-06-26,1472.15,1472.15,1431.25,1451.65,28885013,2000,-27.0,Downtrend,0.0,27.0,98.85518051992129,0.10724228671675395,304047357,1431.8359847402864,0
120,2000-06-27,1452.8,1467.15,1448.95,1454.3,41444271,2000,-5.0,Downtrend,0.0,5.0,98.90501282941932,0.08138454102688031,345491628,1440.1376822443738,0
121,2000-06-28,1453.7,1474.7,1445.6,1470.0,25720842,2000,7.0,Uptrend,7.0,0.0,98.83706462847725,0.06487015103770499,371212470,1445.3279545430591,1
122,2000-06-29,1471.35,1505.75,1471.35,1492.35,41360755,2000,31.0,Uptrend,31.0,0.0,98.50447606597129,0.10626389918458101,412573225,1450.2201294610365,1
123,2000-06-30,1490.2,1490.65,1462.45,1471.45,39155406,2000,-15.0,Downtrend,0.0,15.0,98.72880478806286,0.059168616159798404,373417819,1456.4796333963523,0
124,2000-07-03,1473.45,1498.7,1473.45,1495.25,39577037,2000,8.0,Uptrend,8.0,0.0,98.63978846509663,0.06453794674640467,412994856,1460.8221194778469,1
125,2000-07-04,1496.15,1516.8,1494.8,1511.3,37921171,2000,18.0,Uptrend,18.0,0.0,98.41841892508852,0.0629857569896255,450916027,1466.1434207323389,1
126,2000-07-05,1511.5,1530.9,1511.5,1526.05,51276438,2000,14.0,Uptrend,14.0,0.0,98.22811879420436,0.06690670115705943,502192465,1470.044242410183,1
127,2000-07-06,1525.15,1525.15,1504.05,1516.8,41999154,2000,-5.0,Downtrend,0.0,5.0,98.35122134396745,0.036313326273357704,460193311,1475.3729253252518,0
128,2000-07-07,1517.0,1528.15,1513.4,1517.6,40341969,2000,3.0,Uptrend,3.0,0.0,98.30488653576978,0.03435114503816794,500535280,1478.1959622929226,1
129,2000-07-10,1518.15,1523.2,1502.7,1509.65,40338082,2000,-4.0,Downtrend,0.0,4.0,98.41259620247706,0.04807692307692313,460197198,1481.0679460738124,0
130,2000-07-11,1510.55,1523.1,1506.15,1518.55,47327973,2000,0.0,No change,0.0,0.0,98.41259620247706,0.05977388512806181,507525171,1484.0400955303771,0
131,2000-07-12,1518.7,1537.1,1507.95,1533.35,41648670,2000,14.0,Uptrend,14.0,0.0,98.13930543184772,0.06816440264716128,549173841,1488.532997841114,1
